ID,Password,Length,A (Len>=8),B (Upper),C (Lower),D (Digit),E (Symbol),Score (0-5),Strength Category,Minterm
1,teEviopF,8,1,1,1,0,0,3,Medium,m28
2,DLD#eegb$803,12,1,1,1,1,1,5,Very Strong,m31
3,n9izv0hjjxd,11,1,0,1,1,0,3,Medium,m22
4,vhqiwysr,8,1,0,1,0,0,2,Medium,m20
5,hegrqd_601,10,1,0,1,1,1,4,Strong,m23
6,qvizha_571,10,1,0,1,1,1,4,Strong,m23
7,d8_a#?*)nOAG6(,14,1,1,1,1,1,5,Very Strong,m31
8,pass53,6,0,0,1,1,0,2,Medium,m6
9,QGXD,4,0,1,0,0,0,1,Weak,m8
10,iyvitb492,9,1,0,1,1,0,3,Medium,m22
11,Securejfj,9,1,1,1,0,0,3,Medium,m28
12,clqsocx,7,0,0,1,0,0,1,Weak,m4
13,opourh_752,10,1,0,1,1,1,4,Strong,m23
14,bxkjpp571,9,1,0,1,1,0,3,Medium,m22
15,CBpBNjIU,8,1,1,1,0,0,3,Medium,m28
16,DMswpwpd07,10,1,1,1,1,0,4,Strong,m30
17,Superbofw@wl,12,1,1,1,0,1,4,Strong,m29
18,test,4,0,0,1,0,0,1,Weak,m4
19,ztEFtZWger,10,1,1,1,0,0,3,Medium,m28
20,89ccik1j46o,11,1,0,1,1,0,3,Medium,m22
21,Logic{<TS8822,13,1,1,1,1,1,5,Very Strong,m31
22,LYZODB,6,0,1,0,0,0,1,Weak,m8
23,Superpmcp@kh,12,1,1,1,0,1,4,Strong,m29
24,Secureqsg,9,1,1,1,0,0,3,Medium,m28
25,DMlkpons12,10,1,1,1,1,0,4,Strong,m30
26,GPETQR,6,0,1,0,0,0,1,Weak,m8
27,FTLA,4,0,1,0,0,0,1,Weak,m8
28,fxxigkrt,8,1,0,1,0,0,2,Medium,m20
29,NMqmsgpp47,10,1,1,1,1,0,4,Strong,m30
30,Securexsy,9,1,1,1,0,0,3,Medium,m28
31,LGpccgtj39,10,1,1,1,1,0,4,Strong,m30
32,copkbg,6,0,0,1,0,0,1,Weak,m4
33,Logic^-YQ5433,13,1,1,1,1,1,5,Very Strong,m31
34,test,4,0,0,1,0,0,1,Weak,m4
35,dsowfd,6,0,0,1,0,0,1,Weak,m4
36,mbftp,5,0,0,1,0,0,1,Weak,m4
37,ttceyw952,9,1,0,1,1,0,3,Medium,m22
38,uzibsj979,9,1,0,1,1,0,3,Medium,m22
39,VlZSLsZR,8,1,1,1,0,0,3,Medium,m28
40,jpuee,5,0,0,1,0,0,1,Weak,m4
41,38081,5,0,0,0,1,0,1,Weak,m2
42,sblidi_665,10,1,0,1,1,1,4,Strong,m23
43,kt&)OvV&%sK2b[,14,1,1,1,1,1,5,Very Strong,m31
44,ruecnq872,9,1,0,1,1,0,3,Medium,m22
45,ttjioe723,9,1,0,1,1,0,3,Medium,m22
46,Qsnwe?454_,10,1,1,1,1,1,5,Very Strong,m31
47,azfqxv_736,10,1,0,1,1,1,4,Strong,m23
48,85949,5,0,0,0,1,0,1,Weak,m2
49,blfgqilsz,9,1,0,1,0,0,2,Medium,m20
50,DLD#vvoh$024,12,1,1,1,1,1,5,Very Strong,m31
51,Superihal@om,12,1,1,1,0,1,4,Strong,m29
52,tvkkfl096,9,1,0,1,1,0,3,Medium,m22
53,A2mC8Ax$dvQ>;,13,1,1,1,1,1,5,Very Strong,m31
54,xncdhpyvj,9,1,0,1,0,0,2,Medium,m20
55,Superfhji@dg,12,1,1,1,0,1,4,Strong,m29
56,njbuwlsf,8,1,0,1,0,0,2,Medium,m20
57,piudar_358,10,1,0,1,1,1,4,Strong,m23
58,LKCEZE,6,0,1,0,0,0,1,Weak,m8
59,DLD#lhcw$174,12,1,1,1,1,1,5,Very Strong,m31
60,Superkqaw@kz,12,1,1,1,0,1,4,Strong,m29
